"Name","Link"
"Jump to navigation","https://en.wikipedia.org/wiki/Main_Page#mw-head"
"Jump to search","https://en.wikipedia.org/wiki/Main_Page#searchInput"
"Wikipedia","https://en.wikipedia.org/wiki/Wikipedia"
"free","https://en.wikipedia.org/wiki/Free_content"
"encyclopedia","https://en.wikipedia.org/wiki/Encyclopedia"
"anyone can edit","https://en.wikipedia.org/wiki/Help:Introduction_to_Wikipedia"
"6,234,612","https://en.wikipedia.org/wiki/Special:Statistics"
"English","https://en.wikipedia.org/wiki/English_language"
"The arts","https://en.wikipedia.org/wiki/Portal:The_arts"
"Biography","https://en.wikipedia.org/wiki/Portal:Biography"
"Geography","https://en.wikipedia.org/wiki/Portal:Geography"
"History","https://en.wikipedia.org/wiki/Portal:History"
"Mathematics","https://en.wikipedia.org/wiki/Portal:Mathematics"
"Science","https://en.wikipedia.org/wiki/Portal:Science"
"Society","https://en.wikipedia.org/wiki/Portal:Society"
"Technology","https://en.wikipedia.org/wiki/Portal:Technology"
"All portals","https://en.wikipedia.org/wiki/Wikipedia:Contents/Portals"
"","https://en.wikipedia.org/wiki/File:%C3%86thelred_-_MS_Royal_14_B_VI.jpg"
"Æthelred I","https://en.wikipedia.org/wiki/%C3%86thelred_I,_King_of_Wessex"
"Wessex","https://en.wikipedia.org/wiki/Wessex"
"Æthelwulf","https://en.wikipedia.org/wiki/%C3%86thelwulf,_King_of_Wessex"
"Æthelberht","https://en.wikipedia.org/wiki/%C3%86thelberht,_King_of_Wessex"
"Alfred the Great","https://en.wikipedia.org/wiki/Alfred_the_Great"
"Great Heathen Army","https://en.wikipedia.org/wiki/Great_Heathen_Army"
"Vikings","https://en.wikipedia.org/wiki/Vikings"
"Northumbria","https://en.wikipedia.org/wiki/Kingdom_of_Northumbria"
"East Anglia","https://en.wikipedia.org/wiki/Kingdom_of_East_Anglia"
"Battle of Reading","https://en.wikipedia.org/wiki/Battle_of_Reading_(871)"
"Battle of Ashdown","https://en.wikipedia.org/wiki/Battle_of_Ashdown"
"Basing","https://en.wikipedia.org/wiki/Battle_of_Basing"
"Meretun","https://en.wikipedia.org/wiki/Battle_of_Meretun"
"decisively defeated them","https://en.wikipedia.org/wiki/Battle_of_Edington"
"numismatically","https://en.wikipedia.org/wiki/Numismatics"
"Full article...","https://en.wikipedia.org/wiki/%C3%86thelred_I,_King_of_Wessex"
"Wales national football team home stadium","https://en.wikipedia.org/wiki/Wales_national_football_team_home_stadium"
"John Neal (writer)","https://en.wikipedia.org/wiki/John_Neal_(writer)"
"Alexander II Zabinas","https://en.wikipedia.org/wiki/Alexander_II_Zabinas"
"Archive","https://en.wikipedia.org/wiki/Wikipedia:Today%27s_featured_article/January_2021"
"By email","https://lists.wikimedia.org/mailman/listinfo/daily-article-l"
"More featured articles","https://en.wikipedia.org/wiki/Wikipedia:Featured_articles"
"","https://en.wikipedia.org/wiki/File:Richards_Building_1923_crop.jpg"
"Richards Building","https://en.wikipedia.org/wiki/Richards_Building"
"incendiary","https://en.wikipedia.org/wiki/Structure_fire"
"Shabir Madhi","https://en.wikipedia.org/wiki/Shabir_Madhi"
"Oxford–AstraZeneca COVID-19 vaccine","https://en.wikipedia.org/wiki/Oxford%E2%80%93AstraZeneca_COVID-19_vaccine"
"Minnesota","https://en.wikipedia.org/wiki/Minnesota"
"Winsted Municipal Airport","https://en.wikipedia.org/wiki/Winsted_Municipal_Airport"
"a country-music festival","https://en.wikipedia.org/wiki/Winstock_Country_Music_Festival"
"family tree","https://en.wikipedia.org/wiki/Family_tree"
"Jeyran","https://en.wikipedia.org/wiki/Jeyran_(wife_of_Naser_al-Din_Shah)"
"Naser al-Din Shah","https://en.wikipedia.org/wiki/Naser_al-Din_Shah_Qajar"
"Sassanids","https://en.wikipedia.org/wiki/Sasanian_Empire"
"Ilkhans","https://en.wikipedia.org/wiki/Ilkhanate"
"Jochen Klepper","https://en.wikipedia.org/wiki/Jochen_Klepper"
"Hildegard Schaeder","https://en.wikipedia.org/wiki/Hildegard_Schaeder"
"Nun lasst uns gehn und treten","https://en.wikipedia.org/wiki/Nun_lasst_uns_gehn_und_treten"
"Edmilsa Governo","https://en.wikipedia.org/wiki/Edmilsa_Governo"
